tratto	data	larghezza
13	2013-09-05	543.81
14	2013-09-05	784.61
15	2013-09-05	898.32
16	2013-09-05	754
17	2013-09-05	878.63
18	2013-09-05	826.48
19	2013-09-05	739.9
20	2013-09-05	637.4
21	2013-09-05	674.25
22	2013-09-05	483.22
23	2013-09-05	207.44
1	2014-09-08	327.2
2	2014-09-08	388.92
3	2014-09-08	427.92
4	2014-09-08	415.83
5	2014-09-08	494.5
6	2014-09-08	697.12
7	2014-09-08	814.54
8	2014-09-08	945.11
9	2014-09-08	961.93
10	2014-09-08	808.63
11	2014-09-08	577.56
12	2014-09-08	326.95
13	2014-09-08	545.52
14	2014-09-08	781.53
15	2014-09-08	899.58
16	2014-09-08	762.16
17	2014-09-08	887.4
18	2014-09-08	839.4
19	2014-09-08	737.54
20	2014-09-08	646.93
21	2014-09-08	692.51
22	2014-09-08	506.57
23	2014-09-08	244.6
1	2014-10-31	nan
2	2014-10-31	nan
3	2014-10-31	nan
4	2014-10-31	nan
5	2014-10-31	nan
6	2014-10-31	736.84
7	2014-10-31	839.61
8	2014-10-31	959.64
9	2014-10-31	992.37
10	2014-10-31	844.21
11	2014-10-31	614.13
12	2014-10-31	352.37
13	2014-10-31	565.56
14	2014-10-31	821.07
15	2014-10-31	nan
16	2014-10-31	nan
17	2014-10-31	nan
18	2014-10-31	nan
19	2014-10-31	nan
20	2014-10-31	nan
21	2014-10-31	nan
22	2014-10-31	nan
23	2014-10-31	nan
1	2015-08-13	nan
2	2015-08-13	nan
3	2015-08-13	nan
4	2015-08-13	nan
5	2015-08-13	nan
6	2015-08-13	742.47
7	2015-08-13	836.94
8	2015-08-13	961.48
9	2015-08-13	984.86
10	2015-08-13	826.55
11	2015-08-13	593.96
12	2015-08-13	346.88
13	2015-08-13	558.62
14	2015-08-13	801.05
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	369.56
2	2015-09-12	406.17
3	2015-09-12	439.08
4	2015-09-12	427.26
5	2015-09-12	501.69
6	2015-09-12	720.84
