tratto	data	cambiamento
9	2017-04-21	nan
10	2017-04-21	0.096
11	2017-04-21	0.114
12	2017-04-21	0.002
13	2017-04-21	0.017
14	2017-04-21	0.03
15	2017-04-21	0.018
16	2017-04-21	0.006
17	2017-04-21	0.006
18	2017-04-21	0.007
19	2017-04-21	0.068
20	2017-04-21	0.012
21	2017-04-21	0.128
22	2017-04-21	0.012
23	2017-04-21	0.0
1	2017-06-13	0.001
2	2017-06-13	0.005
3	2017-06-13	0.007
4	2017-06-13	0.008
5	2017-06-13	0.005
6	2017-06-13	0.005
7	2017-06-13	0.037
8	2017-06-13	0.022
9	2017-06-13	nan
10	2017-06-13	0.144
11	2017-06-13	0.14
12	2017-06-13	0.0
13	2017-06-13	0.018
14	2017-06-13	0.035
15	2017-06-13	0.019
16	2017-06-13	0.006
17	2017-06-13	0.013
18	2017-06-13	0.009
19	2017-06-13	0.075
20	2017-06-13	0.015
21	2017-06-13	0.175
22	2017-06-13	0.017
23	2017-06-13	0.0
1	2018-06-15	nan
2	2018-06-15	nan
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	nan
7	2018-06-15	0.051
8	2018-06-15	0.033
9	2018-06-15	nan
10	2018-06-15	0.143
11	2018-06-15	0.139
12	2018-06-15	0.0
13	2018-06-15	0.024
14	2018-06-15	0.045
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	0.002
2	2018-09-16	0.008
3	2018-09-16	0.008
4	2018-09-16	0.012
5	2018-09-16	0.008
6	2018-09-16	0.006
7	2018-09-16	0.042
8	2018-09-16	0.023
9	2018-09-16	nan
10	2018-09-16	0.134
11	2018-09-16	0.135
12	2018-09-16	0.0
13	2018-09-16	0.017
14	2018-09-16	0.037
15	2018-09-16	0.019
16	2018-09-16	0.007
17	2018-09-16	0.019
18	2018-09-16	0.013
19	2018-09-16	0.093
20	2018-09-16	0.033
21	2018-09-16	0.217
22	2018-09-16	0.03
23	2018-09-16	0.0
