tratto	data	cambiamento
16	2015-09-12	0.457
17	2015-09-12	0.493
18	2015-09-12	0.352
19	2015-09-12	0.157
20	2015-09-12	0.381
21	2015-09-12	0.087
22	2015-09-12	0.404
23	2015-09-12	0.718
1	2015-10-22	0.056
2	2015-10-22	0.033
3	2015-10-22	0.075
4	2015-10-22	0.049
5	2015-10-22	0.052
6	2015-10-22	0.155
7	2015-10-22	0.054
8	2015-10-22	0.091
9	2015-10-22	nan
10	2015-10-22	0.059
11	2015-10-22	0.02
12	2015-10-22	0.012
13	2015-10-22	0.014
14	2015-10-22	0.015
15	2015-10-22	0.022
16	2015-10-22	0.042
17	2015-10-22	0.071
18	2015-10-22	0.088
19	2015-10-22	0.031
20	2015-10-22	0.092
21	2015-10-22	0.015
22	2015-10-22	0.058
23	2015-10-22	0.056
1	2016-09-13	0.617
2	2016-09-13	0.885
3	2016-09-13	0.58
4	2016-09-13	0.32
5	2016-09-13	0.494
6	2016-09-13	0.558
7	2016-09-13	0.224
8	2016-09-13	0.249
9	2016-09-13	nan
10	2016-09-13	0.183
11	2016-09-13	0.148
12	2016-09-13	0.677
13	2016-09-13	0.162
14	2016-09-13	0.173
15	2016-09-13	0.367
16	2016-09-13	0.353
17	2016-09-13	0.304
18	2016-09-13	0.28
19	2016-09-13	0.076
20	2016-09-13	0.434
21	2016-09-13	0.142
22	2016-09-13	0.97
23	2016-09-13	4.19
1	2017-04-21	0.27
2	2017-04-21	0.824
3	2017-04-21	0.108
4	2017-04-21	0.123
5	2017-04-21	0.06
6	2017-04-21	0.026
7	2017-04-21	0.027
8	2017-04-21	0.06
9	2017-04-21	nan
10	2017-04-21	0.02
11	2017-04-21	0.015
12	2017-04-21	0.233
13	2017-04-21	0.052
14	2017-04-21	0.067
15	2017-04-21	0.052
16	2017-04-21	0.075
17	2017-04-21	0.086
18	2017-04-21	0.078
19	2017-04-21	0.071
20	2017-04-21	0.104
21	2017-04-21	0.025
22	2017-04-21	0.026
23	2017-04-21	0.065
1	2017-06-13	0.108
2	2017-06-13	0.046
3	2017-06-13	0.18
4	2017-06-13	0.14
5	2017-06-13	0.105
6	2017-06-13	0.141
7	2017-06-13	0.074
8	2017-06-13	0.094
9	2017-06-13	nan
10	2017-06-13	0.239
11	2017-06-13	0.125
12	2017-06-13	0.056
13	2017-06-13	0.025
14	2017-06-13	0.035
15	2017-06-13	0.092
16	2017-06-13	0.044
17	2017-06-13	0.105
18	2017-06-13	0.089
19	2017-06-13	0.043
20	2017-06-13	0.076
21	2017-06-13	0.036
22	2017-06-13	0.269
23	2017-06-13	0.568
1	2018-06-15	nan
2	2018-06-15	nan
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	1.484
7	2018-06-15	0.515
8	2018-06-15	0.633
9	2018-06-15	nan
10	2018-06-15	0.241
11	2018-06-15	0.117
12	2018-06-15	1.606
13	2018-06-15	0.471
14	2018-06-15	0.494
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	0.628
2	2018-09-16	1.082
3	2018-09-16	0.536
4	2018-09-16	0.828
5	2018-09-16	0.628
6	2018-09-16	0.448
7	2018-09-16	0.276
8	2018-09-16	0.272
9	2018-09-16	nan
10	2018-09-16	0.212
11	2018-09-16	0.118
12	2018-09-16	0.858
13	2018-09-16	0.32
14	2018-09-16	0.28
15	2018-09-16	0.391
16	2018-09-16	0.435
17	2018-09-16	0.865
18	2018-09-16	0.857
19	2018-09-16	0.297
20	2018-09-16	1.634
21	2018-09-16	0.291
22	2018-09-16	1.265
23	2018-09-16	4.625
