tratto	data	rapp_isl
20	2014-09-08	0.033617792
21	2014-09-08	0.279011936
22	2014-09-08	0.048545276
23	2014-09-08	0.01683211
1	2014-10-31	nan
2	2014-10-31	nan
3	2014-10-31	nan
4	2014-10-31	nan
5	2014-10-31	nan
6	2014-10-31	0.061942432
7	2014-10-31	0.065985425
8	2014-10-31	0.048390144
9	2014-10-31	nan
10	2014-10-31	0.212406525
11	2014-10-31	0.193998957
12	2014-10-31	0.012184199
13	2014-10-31	0.041701805
14	2014-10-31	0.076688151
15	2014-10-31	nan
16	2014-10-31	nan
17	2014-10-31	nan
18	2014-10-31	nan
19	2014-10-31	nan
20	2014-10-31	nan
21	2014-10-31	nan
22	2014-10-31	nan
23	2014-10-31	nan
1	2015-08-13	nan
2	2015-08-13	nan
3	2015-08-13	nan
4	2015-08-13	nan
5	2015-08-13	nan
6	2015-08-13	0.084190765
7	2015-08-13	0.08325994
8	2015-08-13	0.065900441
9	2015-08-13	nan
10	2015-08-13	0.274283458
11	2015-08-13	0.256887553
12	2015-08-13	0.021148757
13	2015-08-13	0.052504499
14	2015-08-13	0.080128038
15	2015-08-13	nan
16	2015-08-13	nan
17	2015-08-13	nan
18	2015-08-13	nan
19	2015-08-13	nan
20	2015-08-13	nan
21	2015-08-13	nan
22	2015-08-13	nan
23	2015-08-13	nan
1	2015-09-12	0.037113722
2	2015-09-12	0.032471722
3	2015-09-12	0.028657479
4	2015-09-12	0.025549364
5	2015-09-12	0.034584051
6	2015-09-12	0.041153597
7	2015-09-12	0.070774313
8	2015-09-12	0.059256474
9	2015-09-12	nan
10	2015-09-12	0.284537194
11	2015-09-12	0.268672976
12	2015-09-12	0.013948146
13	2015-09-12	0.044392268
14	2015-09-12	0.07702747
15	2015-09-12	0.038039153
16	2015-09-12	0.020024272
17	2015-09-12	0.028095734
18	2015-09-12	0.02170293
19	2015-09-12	0.106156716
20	2015-09-12	0.029019346
21	2015-09-12	0.239648409
22	2015-09-12	0.042523033
23	2015-09-12	0.00994292
1	2015-10-22	0.030146687
2	2015-10-22	0.020092037
3	2015-10-22	0.023281895
4	2015-10-22	0.02071251
5	2015-10-22	0.030306545
6	2015-10-22	0.03801264
7	2015-10-22	0.068229426
8	2015-10-22	0.058832959
9	2015-10-22	nan
10	2015-10-22	0.268125334
11	2015-10-22	0.240145985
12	2015-10-22	0.010333863
13	2015-10-22	0.039507912
14	2015-10-22	0.066694495
15	2015-10-22	0.029727187
16	2015-10-22	0.018255172
17	2015-10-22	0.025626424
