tratto	data	cambiamento
13	2016-09-13	0.126
14	2016-09-13	0.118
15	2016-09-13	0.19
16	2016-09-13	0.194
17	2016-09-13	0.23
18	2016-09-13	0.218
19	2016-09-13	0.117
20	2016-09-13	0.159
21	2016-09-13	0.047
22	2016-09-13	0.152
23	2016-09-13	0.143
1	2017-04-21	0.141
2	2017-04-21	0.157
3	2017-04-21	0.257
4	2017-04-21	0.28
5	2017-04-21	0.201
6	2017-04-21	0.28
7	2017-04-21	0.061
8	2017-04-21	0.081
9	2017-04-21	nan
10	2017-04-21	0.19
11	2017-04-21	0.097
12	2017-04-21	0.442
13	2017-04-21	0.081
14	2017-04-21	0.09
15	2017-04-21	0.211
16	2017-04-21	0.179
17	2017-04-21	0.206
18	2017-04-21	0.206
19	2017-04-21	0.036
20	2017-04-21	0.149
21	2017-04-21	0.077
22	2017-04-21	0.397
23	2017-04-21	0.602
1	2017-06-13	0.311
2	2017-06-13	0.543
3	2017-06-13	0.219
4	2017-06-13	0.197
5	2017-06-13	0.208
6	2017-06-13	0.282
7	2017-06-13	0.076
8	2017-06-13	0.087
9	2017-06-13	nan
10	2017-06-13	0.038
11	2017-06-13	0.021
12	2017-06-13	0.577
13	2017-06-13	0.135
14	2017-06-13	0.167
15	2017-06-13	0.246
16	2017-06-13	0.242
17	2017-06-13	0.257
18	2017-06-13	0.337
19	2017-06-13	0.095
20	2017-06-13	0.228
21	2017-06-13	0.082
22	2017-06-13	0.159
23	2017-06-13	0.636
1	2018-06-15	nan
2	2018-06-15	nan
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	0.361
7	2018-06-15	0.27
8	2018-06-15	0.26
9	2018-06-15	nan
10	2018-06-15	0.162
11	2018-06-15	0.098
12	2018-06-15	0.788
13	2018-06-15	0.301
14	2018-06-15	0.214
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	0.1
2	2018-09-16	0.025
3	2018-09-16	0.081
4	2018-09-16	0.041
5	2018-09-16	0.034
6	2018-09-16	0.439
7	2018-09-16	0.347
8	2018-09-16	0.399
9	2018-09-16	nan
10	2018-09-16	0.164
11	2018-09-16	0.098
12	2018-09-16	0.515
13	2018-09-16	0.323
14	2018-09-16	0.313
15	2018-09-16	0.244
16	2018-09-16	0.17
17	2018-09-16	0.192
18	2018-09-16	0.182
19	2018-09-16	0.069
20	2018-09-16	0.048
21	2018-09-16	0.019
22	2018-09-16	0.025
23	2018-09-16	0.075
