tratto	data	cambiamento
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	0.075
7	2018-06-15	0.157
8	2018-06-15	0.069
9	2018-06-15	nan
10	2018-06-15	0.117
11	2018-06-15	0.025
12	2018-06-15	nan
13	2018-06-15	0.194
14	2018-06-15	0.163
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	0.044
2	2018-09-16	0.0
3	2018-09-16	0.018
4	2018-09-16	0.0
5	2018-09-16	0.0
6	2018-09-16	0.0
7	2018-09-16	0.04
8	2018-09-16	0.012
9	2018-09-16	nan
10	2018-09-16	0.015
11	2018-09-16	0.015
12	2018-09-16	0.0
13	2018-09-16	0.042
14	2018-09-16	0.074
15	2018-09-16	0.634
16	2018-09-16	nan
17	2018-09-16	0.081
18	2018-09-16	0.036
19	2018-09-16	0.0
20	2018-09-16	0.0
21	2018-09-16	0.0
22	2018-09-16	0.0
23	2018-09-16	nan
