tr_anni	picchi
0.127060934	1.22
0.127221163	1.22
0.127381795	1.22
0.127542834	1.22
0.127704281	1.22
0.127866137	1.22
0.128028403	1.22
0.128191083	1.22
0.128354176	1.22
0.128517684	1.22
0.12868161	1.22
0.128845954	1.22
0.129010719	1.22
0.129175905	1.22
0.129341515	1.22
0.129507551	1.22
0.129674013	1.22
0.129840903	1.22
0.130008224	1.22024
0.130175977	1.22225
0.130344163	1.22426
0.130512784	1.22627
0.130681842	1.22828
0.130851338	1.23
0.131021275	1.23
0.131191654	1.23
0.131362476	1.23
0.131533744	1.23
0.131705459	1.23034
0.131877623	1.23235
0.132050238	1.23436
0.132223305	1.23637
0.132396827	1.23838
0.132570804	1.24
0.132745239	1.24
0.132920134	1.24
0.133095491	1.24
0.13327131	1.24
0.133447595	1.24
0.133624347	1.24
0.133801568	1.24
0.133979259	1.24
0.134157423	1.24
0.134336061	1.24
0.134515176	1.24
0.134694769	1.24
0.134874842	1.24
0.135055398	1.24
0.135236437	1.24054
0.135417962	1.24255
0.135599976	1.24456
0.135782479	1.24657
0.135965474	1.24858
0.136148963	1.25
0.136332949	1.25
0.136517432	1.25
0.136702415	1.25
0.1368879	1.25
0.137073889	1.25
0.137260384	1.25
0.137447387	1.25
0.1376349	1.25
0.137822926	1.25
0.138011466	1.25069
0.138200523	1.2527
0.138390099	1.25471
0.138580195	1.25672
0.138770814	1.25873
0.138961959	1.26
0.13915363	1.26
0.139345831	1.26
0.139538564	1.26
0.139731831	1.26
0.139925634	1.26079
0.140119975	1.2628
0.140314857	1.26481
0.140510281	1.26682
0.140706251	1.26883
0.140902768	1.27
0.141099835	1.27
0.141297454	1.27
0.141495627	1.27
0.141694357	1.27
0.141893645	1.27178
0.142093496	1.2758
0.14229391	1.27982
0.14249489	1.28384
0.142696438	1.28786
0.142898558	1.29094
0.143101251	1.29295
0.14330452	1.29496
0.143508367	1.29697
0.143712795	1.29898
0.143917806	1.3
0.144123403	1.3
0.144329588	1.3
0.144536364	1.3
0.144743733	1.3
0.144951698	1.3
0.145160262	1.3
0.145369426	1.3
0.145579195	1.3
0.145789569	1.3
0.146000553	1.30109
0.146212148	1.3031
0.146424357	1.30511
0.146637183	1.30712
0.146850629	1.30913
0.147064697	1.31
0.14727939	1.31
0.14749471	1.31
0.147710662	1.31
0.147927246	1.31
0.148144467	1.31
